Fiyat,İlan Tarihi,Net m²,Brüt m²,Oda Sayısı,Banyo Sayısı,Binadaki Kat Sayısı,Bulunduğu Kat,Bina Yaşı,Yapının Durumu,Isıtma Tipi,Kira Getirisi,Aidat,Kullanım Durumu,Krediye Uygun,Tapu Durumu,Görüntülü Ev Gezintisi,Mobilya Durumu,Tapu Durumu,Kimden,Parsel,Ada,Konut Şekli,Sehir
"<strong content=""5340000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">5.340.000 TL</strong>",17 Aralık 2024,135,145m²,3+1,2,10,6,6-10 arası,İkinci El,Kombi (Doğalgaz),,100  TL  (aylık),Boş,Evet,,,,,,,,,Ankara
"<strong content=""4350000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">4.350.000 TL</strong>",17 Aralık 2024,110,130m²,3+1,1,6,4,26-30 arası,Sıfır,Merkezi Sistem,30.000  TL  (aylık),,Mülk Sahibi,Evet,,,,,,,,Tek Kat,Ankara
"<strong content=""8350000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">8.350.000 TL</strong>",18 Aralık 2024,200,220m²,4+1,1,20 ve üzeri,20 ve üzeri,6-10 arası,İkinci El,Merkezi Sistem (Isı Payı Ölçer),,,Boş,Evet,,,,,,,,Tek Kat,Ankara
"<strong content=""3150000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">3.150.000 TL</strong>",18 Aralık 2024,80,85m²,2+1,1,3,2,31-35 arası,,Kombi (Doğalgaz),20.000  TL  (aylık),100  TL  (aylık),Kiracılı,Evet,,,,,,,,Tek Kat,Ankara
"<strong content=""14200000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">14.200.000 TL</strong>",17 Aralık 2024,169,200m²,4+1,1,10-20 arası,Ara Kat,21-25 arası,İkinci El,Merkezi Sistem (Isı Payı Ölçer),,,Boş,Evet,,,,,,,,Tek Kat,Ankara
"<strong content=""13200000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">13.200.000 TL</strong>",18 Aralık 2024,1100,1400m²,4+1,1,2,,6-10 arası,İkinci El,Yok,25.000  TL  (aylık),,Boş,Evet,,,,,,,,Giriş Kat,Ankara
"<strong content=""2900000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">2.900.000 TL</strong>",17 Aralık 2024,120,130m²,3+1,1,3,1,26-30 arası,,Kombi (Doğalgaz),,,,Evet,,,,,,,,,Ankara
"<strong content=""5000000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">5.000.000 TL</strong>",18 Aralık 2024,170,190m²,4+1,2,10-20 arası,4,,Sıfır,Kombi (Doğalgaz),,,Boş,Evet,,,,,,,,Tek Kat,Ankara
"<strong content=""9800000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">9.800.000 TL</strong>",18 Aralık 2024,,,,,,,,,,,,,Evet,,,,,,24,124439,,Ankara
"<strong content=""5750000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">5.750.000 TL</strong>",17 Aralık 2024,180,200m²,4+1,2,5,Kot 1,16-20 arası,İkinci El,Kombi (Doğalgaz),30.000  TL  (aylık),500  TL  (aylık),Boş,Evet,,,,,,,,Tek Kat,Ankara
"<strong content=""5600000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">5.600.000 TL</strong>",17 Aralık 2024,158,198m²,3+1,2,10,Yüksek Giriş,6-10 arası,Sıfır,Merkezi Sistem (Isı Payı Ölçer),,1.076  TL  (aylık),Mülk Sahibi,Evet,,,,,,,,Tek Kat,Ankara
"<strong content=""2800000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">2.800.000 TL</strong>",17 Aralık 2024,120,130m²,3+1,1,3,3,11-15 arası,İkinci El,Kombi (Doğalgaz),,,Mülk Sahibi,Evet,,,,,,,,Tek Kat,Ankara
"<strong content=""3300000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">3.300.000 TL</strong>",17 Aralık 2024,50,55m²,1+1,1,3,Giriş Katı,,Sıfır,Kombi (Doğalgaz),,,Boş,Evet,,,,,,,,,Ankara
"<strong content=""1530000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">1.530.000 TL</strong>",17 Aralık 2024,120,130m²,3+1,1,5,En Üst Kat,21-25 arası,İkinci El,Kombi (Doğalgaz),12.000  TL  (aylık),100  TL  (aylık),Mülk Sahibi,Evet,,,,,,,,Tek Kat,Ankara
