Fiyat,İlan Tarihi,Net m²,Brüt m²,Oda Sayısı,Banyo Sayısı,Binadaki Kat Sayısı,Bulunduğu Kat,Bina Yaşı,Yapının Durumu,Isıtma Tipi,Kira Getirisi,Aidat,Kullanım Durumu,Krediye Uygun,Tapu Durumu,Görüntülü Ev Gezintisi,Mobilya Durumu,Tapu Durumu,Kimden,Parsel,Ada,Konut Şekli,Sehir
"<strong content=""13950000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">13.950.000 TL</strong>",14 Aralık 2024,415,445m²,6+1,5,20 ve üzeri,20 ve üzeri,1,Sıfır,Merkezi Sistem (Isı Payı Ölçer),,2.300  TL  (aylık),Kiracılı,Evet,,,,,,,,Tek Kat,Ankara
"<strong content=""6900000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">6.900.000 TL</strong>",14 Aralık 2024,135,160m²,3+1,1,5,Yüksek Giriş,11-15 arası,İkinci El,Kombi (Doğalgaz),,1.500  TL  (aylık),Kiracılı,Evet,,,,,,,,Tek Kat,Ankara
"<strong content=""6250000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">6.250.000 TL</strong>",14 Aralık 2024,85,100m²,2+1,1,10-20 arası,8,1,,Merkezi Sistem (Isı Payı Ölçer),35.000  TL  (aylık),2.000  TL  (aylık),Kiracılı,Evet,,,,,,,,Tek Kat,Ankara
"<strong content=""11650000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">11.650.000 TL</strong>",14 Aralık 2024,145,204m²,4+1,2,10-20 arası,5,2,İkinci El,Merkezi Sistem (Isı Payı Ölçer),,,Boş,Evet,,,,,,,,Tek Kat,Ankara
"<strong content=""3090000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">3.090.000 TL</strong>",14 Aralık 2024,130,140m²,3+1,2,3,2,11-15 arası,İkinci El,Kombi (Doğalgaz),20.000  TL  (aylık),100  TL  (aylık),Boş,Evet,,,,,,,,Tek Kat,Ankara
"<strong content=""5800000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">5.800.000 TL</strong>",14 Aralık 2024,120,130m²,3+1,2,4,2,11-15 arası,İkinci El,Kombi (Doğalgaz),,200  TL  (aylık),Mülk Sahibi,Evet,,,,,,,,Tek Kat,Ankara
"<strong content=""7150000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">7.150.000 TL</strong>",14 Aralık 2024,180,198m²,4+1,2,20 ve üzeri,15,4,İkinci El,Merkezi Sistem (Isı Payı Ölçer),,1  TL  (aylık),Mülk Sahibi,Evet,,,,,,5,63565,,Ankara
"<strong content=""450000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">450.000 TL</strong>",15 Aralık 2024,,,,,,,,,,,,,Hayır,,,,,,,,,Ankara
"<strong content=""4950000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">4.950.000 TL</strong>",14 Aralık 2024,65,,,,3,Giriş Katı,11-15 arası,,Kombi (Doğalgaz),20.000  TL  (aylık),,Kiracılı,Evet,,,,,,,,,Ankara
"<strong content=""500000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">500.000 TL</strong>",15 Aralık 2024,,,,,,,,,,,,,Evet,,,,,,89,132,,Ankara
"<strong content=""3200000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">3.200.000 TL</strong>",14 Aralık 2024,100,115m²,3+1,1,3,3,40 ve üzeri,İkinci El,Kombi (Doğalgaz),20.000  TL  (aylık),100  TL  (aylık),Kiracılı,Evet,,,,,,,,,Ankara
"<strong content=""14500000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">14.500.000 TL</strong>",14 Aralık 2024,499,,,,,,,,,,,Boş,Evet,,,,,,,,,Ankara
"<strong content=""5650000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">5.650.000 TL</strong>",13 Aralık 2024,135,150m²,3+1,2,6,1,16-20 arası,İkinci El,Kombi (Doğalgaz),30.000  TL  (aylık),525  TL  (aylık),Boş,Evet,,,,,,,,Tek Kat,Ankara
"<strong content=""11300000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">11.300.000 TL</strong>",13 Aralık 2024,245,250m²,4+1,2,8,6,40 ve üzeri,İkinci El,Kombi (Doğalgaz),55.000  TL  (aylık),1.500  TL  (aylık),Boş,Evet,,,,,,,,Tek Kat,Ankara
"<strong content=""30000000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">30.000.000 TL</strong>",13 Aralık 2024,450,850m²,6+1,4,2,,11-15 arası,İkinci El,Kombi (Doğalgaz),,,Boş,Evet,,,,,,,,Dubleks,Ankara
"<strong content=""3700000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">3.700.000 TL</strong>",13 Aralık 2024,160,200m²,4+2,1,4,3,11-15 arası,,Kombi (Doğalgaz),40.000  TL  (aylık),,Mülk Sahibi,Evet,,,,,,,,Dubleks,Ankara
"<strong content=""2950000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">2.950.000 TL</strong>",13 Aralık 2024,150,175m²,3+1,2,7,7,,Sıfır,Kombi (Doğalgaz),17.000  TL  (aylık),,Boş,Evet,,,,,,,,Tek Kat,Ankara
"<strong content=""6950000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">6.950.000 TL</strong>",13 Aralık 2024,100,125m²,3+1,2,10-20 arası,Kot 1,5,Sıfır,Merkezi Sistem,25.000  TL  (aylık),,Boş,Evet,,,,,,,,Tek Kat,Ankara
"<strong content=""30000000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">30.000.000 TL</strong>",13 Aralık 2024,,,,,,,,,,,,,Hayır,,,,,,21,3516,,Ankara
"<strong content=""4700000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">4.700.000 TL</strong>",13 Aralık 2024,120,130m²,3+1,2,3,Bahçe katı,,Sıfır,Kombi (Doğalgaz),,,Boş,Evet,,,,,,,,Bahçe Katı,Ankara
"<strong content=""6000000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">6.000.000 TL</strong>",13 Aralık 2024,200,240m²,6+1,2,3,3,21-25 arası,İkinci El,Kombi (Doğalgaz),35.000  TL  (aylık),400  TL  (aylık),Mülk Sahibi,Evet,,,,,,,,Çatı Dubleksi,Ankara
"<strong content=""6500000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">6.500.000 TL</strong>",13 Aralık 2024,200,210m²,5+1,2,3,3,6-10 arası,İkinci El,Kombi (Doğalgaz),,300  TL  (aylık),Mülk Sahibi,Evet,,,,,,,,Dubleks,Ankara
"<strong content=""2900000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">2.900.000 TL</strong>",13 Aralık 2024,115,125m²,3+1,1,3,Kot 2,16-20 arası,,Kombi (Doğalgaz),20.000  TL  (aylık),200  TL  (aylık),Kiracılı,Evet,,,,,,,,Tek Kat,Ankara
"<strong content=""2850000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">2.850.000 TL</strong>",13 Aralık 2024,120,125m²,3+1,1,4,3,1,Sıfır,Kombi (Doğalgaz),18.000  TL  (aylık),300  TL  (aylık),Boş,Evet,,,,,,,,Tek Kat,Ankara
"<strong content=""12000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">12.000 TL</strong>",13 Aralık 2024,110,120m²,3+1,1,3,3,26-30 arası,İkinci El,Kombi (Doğalgaz),,100  TL  (aylık),Boş,Evet,,,,,,,,Tek Kat,Ankara
"<strong content=""6500000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">6.500.000 TL</strong>",13 Aralık 2024,120,130m²,3+1,1,10,3,21-25 arası,İkinci El,Kombi (Doğalgaz),,1.000  TL  (aylık),Kiracılı,Evet,,,,,,,,Tek Kat,Ankara
"<strong content=""5450000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">5.450.000 TL</strong>",13 Aralık 2024,80,90m²,2+1,1,2,1,,Sıfır,Kombi (Doğalgaz),,,Boş,Evet,,,,,,,,Tek Kat,Ankara
"<strong content=""2250000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">2.250.000 TL</strong>",13 Aralık 2024,95,110m²,2+1,1,4,Kot 1,16-20 arası,İkinci El,Kombi (Doğalgaz),15.000  TL  (aylık),200  TL  (aylık),Kiracılı,Evet,,,,,,,,Tek Kat,Ankara
"<strong content=""5950000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">5.950.000 TL</strong>",13 Aralık 2024,80,95m²,2+1,1,5,Ara Kat,1,Sıfır,Kombi (Doğalgaz),20.000  TL  (aylık),,Boş,Evet,,,,,,,,Tek Kat,Ankara
"<strong content=""11500000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">11.500.000 TL</strong>",13 Aralık 2024,190,220m²,4+1,2,9,8,16-20 arası,İkinci El,Kombi (Doğalgaz),65.000  TL  (aylık),2.000  TL  (aylık),Mülk Sahibi,Evet,,,,,,,,Tek Kat,Ankara
"<strong content=""3750000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">3.750.000 TL</strong>",13 Aralık 2024,50,60m²,1+1,1,10-20 arası,Yüksek Giriş,5,İkinci El,Merkezi Sistem (Isı Payı Ölçer),18.000  TL  (aylık),1.450  TL  (aylık),Kiracılı,Evet,,,,,,,,Tek Kat,Ankara
"<strong content=""6950000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">6.950.000 TL</strong>",13 Aralık 2024,220,260m²,5+1,2,3,3,11-15 arası,İkinci El,Kombi (Doğalgaz),35.000  TL  (aylık),400  TL  (aylık),Mülk Sahibi,Evet,,,,,,,,Çatı Dubleksi,Ankara
"<strong content=""7000000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">7.000.000 TL</strong>",13 Aralık 2024,220,260m²,6+1,4,3,3,3,İkinci El,Kombi (Doğalgaz),30.000  TL  (aylık),250  TL  (aylık),Mülk Sahibi,Evet,,,,,,,,Çatı Dubleksi,Ankara
"<strong content=""4375000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">4.375.000 TL</strong>",13 Aralık 2024,145,160m²,4+1,2,7,3,16-20 arası,İkinci El,Kombi (Doğalgaz),,1.200  TL  (aylık),Kiracılı,Evet,,,,,,,,Tek Kat,Ankara
"<strong content=""7500000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">7.500.000 TL</strong>",13 Aralık 2024,260,280m²,6+1,2,2,2,6-10 arası,İkinci El,Kombi (Doğalgaz),35.000  TL  (aylık),300  TL  (aylık),Mülk Sahibi,Evet,,,,,,,,Dubleks,Ankara
"<strong content=""5000000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">5.000.000 TL</strong>",13 Aralık 2024,180,200m²,4+1,3,2,,6-10 arası,İkinci El,Soba (Kömür),,,Mülk Sahibi,Evet,,,,,,,,Dubleks,Ankara
"<strong content=""9750000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">9.750.000 TL</strong>",13 Aralık 2024,165,175m²,4+1,2,5,Ara Kat,1,Sıfır,Kombi (Doğalgaz),35.000  TL  (aylık),,Boş,Evet,,,,,,,,Tek Kat,Ankara
"<strong content=""3150000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">3.150.000 TL</strong>",13 Aralık 2024,160,200m²,5+1,1,3,3,11-15 arası,İkinci El,Kombi (Doğalgaz),20.000  TL  (aylık),100  TL  (aylık),Kiracılı,Evet,,,,,,,,Çatı Dubleksi,Ankara
"<strong content=""18200000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">18.200.000 TL</strong>",13 Aralık 2024,185,400m²,4+1,1,20 ve üzeri,20 ve üzeri,6-10 arası,Sıfır,Merkezi Sistem (Isı Payı Ölçer),65.000  TL  (aylık),4.500  TL  (aylık),Kiracılı,Hayır,,,,,,,,Tek Kat,Ankara
"<strong content=""2350000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">2.350.000 TL</strong>",13 Aralık 2024,90,100m²,2+1,1,3,Kot 1,11-15 arası,İkinci El,Kombi (Doğalgaz),20.000  TL  (aylık),250  TL  (aylık),Boş,Evet,,,,,,13,26521,Tek Kat,Ankara
"<strong content=""4350000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">4.350.000 TL</strong>",13 Aralık 2024,330,,,,3,Yüksek Giriş,6-10 arası,,Kombi (Doğalgaz),13.000  TL  (aylık),100  TL  (aylık),Kiracılı,Evet,,,,,,,,,Ankara
"<strong content=""5000000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">5.000.000 TL</strong>",13 Aralık 2024,124,125m²,3+1,1,3,Giriş Katı,36-40 arası,İkinci El,Merkezi Sistem,30.000  TL  (aylık),1.350  TL  (aylık),Boş,Evet,,,,,,,,Tek Kat,Ankara
"<strong content=""10000000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">10.000.000 TL</strong>",13 Aralık 2024,230,260m²,4+2,2,4,4,,Sıfır,Kombi (Doğalgaz),,,Boş,Evet,,,,,,,,Çatı Dubleksi,Ankara
"<strong content=""4750000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">4.750.000 TL</strong>",13 Aralık 2024,100,110m²,3+1,1,3,Yüksek Giriş,31-35 arası,İkinci El,Kombi (Doğalgaz),,200  TL  (aylık),Mülk Sahibi,Evet,,,,,,,,Tek Kat,Ankara
"<strong content=""2900000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">2.900.000 TL</strong>",13 Aralık 2024,110,115m²,3+1,1,3,Kot 1,16-20 arası,İkinci El,Kombi (Doğalgaz),18.000  TL  (aylık),200  TL  (aylık),Boş,Evet,,,,,,,,Tek Kat,Ankara
"<strong content=""2600000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">2.600.000 TL</strong>",13 Aralık 2024,150,180m²,4+1,1,4,4,21-25 arası,İkinci El,Kombi (Doğalgaz),20.000  TL  (aylık),200  TL  (aylık),Boş,Evet,,,,,,,,Çatı Dubleksi,Ankara
"<strong content=""8500000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">8.500.000 TL</strong>",13 Aralık 2024,84,100m²,2+1,1,3,1,,Sıfır,Kombi (Doğalgaz),30.000  TL  (aylık),,Boş,Evet,,,,,,,,Tek Kat,Ankara
"<strong content=""15000000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">15.000.000 TL</strong>",13 Aralık 2024,181,199m²,4+1,2,3,3,5,Sıfır,Kombi (Doğalgaz),30.000  TL  (aylık),,Boş,Evet,,,,,,,,Çatı Dubleksi,Ankara
"<strong content=""4175000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">4.175.000 TL</strong>",13 Aralık 2024,145,160m²,4+1,2,7,7,6-10 arası,İkinci El,Kombi (Doğalgaz),15.000  TL  (aylık),1.200  TL  (aylık),Kiracılı,Evet,,,,,,,,Tek Kat,Ankara
"<strong content=""6500000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">6.500.000 TL</strong>",13 Aralık 2024,,,,,,,,,,,,,Evet,,,,,,4,397,,Ankara
"<strong content=""1150000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">1.150.000 TL</strong>",13 Aralık 2024,38,,,,4,Zemin Kat,26-30 arası,,Kombi (Doğalgaz),,,Boş,Evet,,,,,,,,,Ankara
"<strong content=""4000000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">4.000.000 TL</strong>",13 Aralık 2024,145,,,,3,Giriş Katı,6-10 arası,,Kombi (Doğalgaz),2.500  TL  (aylık),,Boş,Evet,,,,,,,,,Ankara
"<strong content=""3600000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">3.600.000 TL</strong>",12 Aralık 2024,120,125m²,3+1,1,3,3,16-20 arası,İkinci El,Kombi (Doğalgaz),23.000  TL  (aylık),200  TL  (aylık),Boş,Evet,,,,,,,,Tek Kat,Ankara
"<strong content=""2600000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">2.600.000 TL</strong>",13 Aralık 2024,,,,,,,,,,,,,Evet,,,,,,14,108,,Ankara
"<strong content=""3400000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">3.400.000 TL</strong>",13 Aralık 2024,54,65m²,1+1,1,3,Giriş Katı,,Sıfır,Merkezi Sistem (Isı Payı Ölçer),,1  TL  (aylık),Boş,Evet,,,,,,,,Tek Kat,Ankara
"<strong content=""3475000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">3.475.000 TL</strong>",12 Aralık 2024,130,135m²,3+1,1,3,1,6-10 arası,İkinci El,Kombi (Doğalgaz),,,Mülk Sahibi,Evet,,,,,,,,Tek Kat,Ankara
"<strong content=""19990000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">19.990.000 TL</strong>",14 Aralık 2024,,,,,,,,,,,,,Hayır,,,,,,,,,Ankara
"<strong content=""450000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">450.000 TL</strong>",13 Aralık 2024,,,,,,,,,,,,,Evet,,,,,,11,125037,,Ankara
"<strong content=""14250000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">14.250.000 TL</strong>",13 Aralık 2024,250,,,,1,Giriş Katı,16-20 arası,,Soba (Kömür),70.000  TL  (aylık),,Kiracılı,Evet,,,,,,,,,Ankara
"<strong content=""2500000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">2.500.000 TL</strong>",13 Aralık 2024,75,,,,8,Zemin Kat,2,,Merkezi Sistem (Isı Payı Ölçer),,,Kiracılı,Evet,,,,,,5,47541,,Ankara
"<strong content=""1000000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">1.000.000 TL</strong>",13 Aralık 2024,,,,,,,,,,,,,Evet,,,,,,4,180,,Ankara
"<strong content=""980000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">980.000 TL</strong>",13 Aralık 2024,,,,,,,,,,,,,Hayır,,,,,,15,1071,,Ankara
"<strong content=""2900000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">2.900.000 TL</strong>",12 Aralık 2024,110,120m²,3+1,1,3,Giriş Katı,6-10 arası,İkinci El,Kombi (Doğalgaz),,,Kiracılı,Evet,,,,,,,,Tek Kat,Ankara
"<strong content=""280000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">280.000 TL</strong>",13 Aralık 2024,,,,,,,,,,,,,Hayır,,,,,,,,,Ankara
"<strong content=""2000000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">2.000.000 TL</strong>",13 Aralık 2024,90,,,,3,Zemin Kat,16-20 arası,,Kombi (Doğalgaz),,,Kiracılı,Evet,,,,,,,,,Ankara
"<strong content=""1000000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">1.000.000 TL</strong>",13 Aralık 2024,,,,,,,,,,,,,Hayır,,,,,,111,126,,Ankara
"<strong content=""400000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">400.000 TL</strong>",13 Aralık 2024,,,,,,,,,,,,,Hayır,,,,,,1,514,,Ankara
"<strong content=""4995000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">4.995.000 TL</strong>",12 Aralık 2024,200,220m²,5+1,2,4,3,5,İkinci El,Kombi (Doğalgaz),,,Mülk Sahibi,Hayır,,,,,,,,Dubleks,Ankara
"<strong content=""2799000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">2.799.000 TL</strong>",12 Aralık 2024,140,145m²,4+1,1,4,Kot 1,6-10 arası,,Kombi (Doğalgaz),17.000  TL  (aylık),,Mülk Sahibi,Evet,,,,,,,,Tek Kat,Ankara
"<strong content=""2100000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">2.100.000 TL</strong>",12 Aralık 2024,81,95m²,2+1,1,1,,2,İkinci El,Soba (Kömür),,2.000  TL  (aylık),Boş,Hayır,,,,,,,,Giriş Kat,Ankara
"<strong content=""12950000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">12.950.000 TL</strong>",12 Aralık 2024,200,260m²,4+1,2,10-20 arası,12,6-10 arası,İkinci El,Merkezi Sistem,,,Boş,Evet,,,,,,,,Tek Kat,Ankara
"<strong content=""930000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">930.000 TL</strong>",13 Aralık 2024,,,,,,,,,,,,,Hayır,,,,,,,1404,,Ankara
"<strong content=""1945000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">1.945.000 TL</strong>",13 Aralık 2024,,,,,,,,,,,,,Evet,,,,,,1,158,,Ankara
"<strong content=""7500000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">7.500.000 TL</strong>",12 Aralık 2024,115,125m²,3+1,1,3,2,26-30 arası,Sıfır,Merkezi Sistem,40.000  TL  (aylık),1.500  TL  (aylık),Boş,Evet,,,,,,,,Tek Kat,Ankara
"<strong content=""3100000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">3.100.000 TL</strong>",12 Aralık 2024,,,,,3,Yüksek Giriş,21-25 arası,,Kombi (Doğalgaz),13.000  TL  (aylık),100  TL  (aylık),Kiracılı,Evet,,,,,,,,,Ankara
"<strong content=""3300000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">3.300.000 TL</strong>",12 Aralık 2024,81,94m²,2+1,2,10-20 arası,1,,Sıfır,Yok,,,Boş,Evet,,,,,,,,,Ankara
"<strong content=""4250000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">4.250.000 TL</strong>",12 Aralık 2024,70,,,,2,Giriş Katı,26-30 arası,,Kombi (Doğalgaz),,100  TL  (aylık),Kiracılı,Evet,,,,,,,,,Ankara
"<strong content=""13500000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">13.500.000 TL</strong>",13 Aralık 2024,,,,,,,,,,,,,Evet,,,,,,,,,Ankara
"<strong content=""5200000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">5.200.000 TL</strong>",12 Aralık 2024,250,307m²,5+2,2,3,3,11-15 arası,İkinci El,Kombi (Doğalgaz),30.000  TL  (aylık),100  TL  (aylık),Mülk Sahibi,Evet,,,,,,,,Dubleks,Ankara
"<strong content=""4250000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">4.250.000 TL</strong>",12 Aralık 2024,130,155m²,3+1,2,4,1,21-25 arası,İkinci El,Kombi (Doğalgaz),8.000  TL  (aylık),150  TL  (aylık),Kiracılı,Evet,,,,,,,,Tek Kat,Ankara
"<strong content=""2505000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">2.505.000 TL</strong>",13 Aralık 2024,,,,,,,,,,,,,Hayır,,,,,,,,,Ankara
"<strong content=""34000000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">34.000.000 TL</strong>",12 Aralık 2024,,,,,4,,,İkinci El,Yok,,,Boş,Evet,,,,,,,,,Ankara
"<strong content=""1850000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">1.850.000 TL</strong>",12 Aralık 2024,125,140m²,3+1,1,5,5,21-25 arası,İkinci El,Kombi (Doğalgaz),,,Mülk Sahibi,Evet,,,,,,,,Tek Kat,Ankara
"<strong content=""7500000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">7.500.000 TL</strong>",12 Aralık 2024,140,180m²,3+1,1,5,3,16-20 arası,İkinci El,Kombi (Doğalgaz),35.000  TL  (aylık),450  TL  (aylık),Mülk Sahibi,Hayır,,,,,,,,Tek Kat,Ankara
"<strong content=""275000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">275.000 TL</strong>",12 Aralık 2024,,,,,,,,,,,,,Hayır,Hisseli Tapu,,,Hisseli Tapu,,,,,Ankara
"<strong content=""390000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">390.000 TL</strong>",12 Aralık 2024,,,,,,,,,,,,,Hayır,,,,,,,,,Ankara
"<strong content=""8650000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">8.650.000 TL</strong>",11 Aralık 2024,130,140m²,3+1,2,20 ve üzeri,20 ve üzeri,4,İkinci El,Merkezi Sistem,,4.000  TL  (aylık),Kiracılı,Evet,,,,,,,,Tek Kat,Ankara
"<strong content=""6000000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">6.000.000 TL</strong>",11 Aralık 2024,180,200m²,4+1,2,20 ve üzeri,19,2,İkinci El,Merkezi Sistem (Isı Payı Ölçer),40.000  TL  (aylık),1.200  TL  (aylık),Kiracılı,Evet,,,,,,,,Tek Kat,Ankara
"<strong content=""7000000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">7.000.000 TL</strong>",13 Aralık 2024,,,,,,,,,,,,,Evet,,,,,,,,,Ankara
"<strong content=""750000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">750.000 TL</strong>",12 Aralık 2024,,,,,,,,,,,,,Hayır,Müstakil Parsel,,,Müstakil Parsel,,,,,Ankara
"<strong content=""2920000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">2.920.000 TL</strong>",11 Aralık 2024,120,135m²,3+1,1,3,1,11-15 arası,Sıfır,Kombi (Doğalgaz),20.000  TL  (aylık),,Mülk Sahibi,Evet,,,,,,,,Tek Kat,Ankara
"<strong content=""4300000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">4.300.000 TL</strong>",13 Aralık 2024,,,,,,,,,,,,,Evet,,,,,,,,,Ankara
"<strong content=""10000000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">10.000.000 TL</strong>",13 Aralık 2024,,,,,,,,,,,,,Hayır,,,,,,,,,Ankara
"<strong content=""10000000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">10.000.000 TL</strong>",13 Aralık 2024,,,,,,,,,,,,,Hayır,,,,,,,,,Ankara
"<strong content=""3749000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">3.749.000 TL</strong>",11 Aralık 2024,80,90m²,2+1,1,1,2,,Sıfır,Kombi (Doğalgaz),27.500  TL  (aylık),100  TL  (aylık),Boş,Evet,,,,,,58,101,Tek Kat,Ankara
"<strong content=""13500000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">13.500.000 TL</strong>",11 Aralık 2024,175,200m²,4+1,2,10-20 arası,12,3,,Merkezi Sistem (Isı Payı Ölçer),,,Boş,Hayır,,,,,,,,,Ankara
"<strong content=""5900000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">5.900.000 TL</strong>",12 Aralık 2024,,,,,,,,,,,,,Evet,,,,,,15,151,,Ankara
"<strong content=""1790000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">1.790.000 TL</strong>",12 Aralık 2024,,,,,,,,,,,,,Hayır,,,,,,,,,Ankara
"<strong content=""8250000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">8.250.000 TL</strong>",11 Aralık 2024,250,,,,4,Giriş Katı,5,,Kombi (Doğalgaz),,,Kiracılı,Evet,Kat Mülkiyeti,,,Kat Mülkiyeti,Danışman,,,,Ankara
"<strong content=""3750000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">3.750.000 TL</strong>",11 Aralık 2024,87,95m²,2+1,1,5,Bahçe katı,21-25 arası,İkinci El,Kombi (Doğalgaz),,,Mülk Sahibi,Evet,,,,,,,,,Ankara
"<strong content=""6500000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">6.500.000 TL</strong>",13 Aralık 2024,,,,,,,,,,,,,Evet,,,,,,,,,Ankara
"<strong content=""6500000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">6.500.000 TL</strong>",13 Aralık 2024,,,,,,,,,,,,,Evet,,,,,,,,,Ankara
